python train.py --scenario simple_push --num-adversaries 1 --lr_actor 0.005 --lr_critic 0.01 --lr_lamda 0.0001 --alpha 0.01
2018-10-27 23:32:07.949827: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -26.954966745206757, agent episode reward: [2.355784296570984, -29.310751041777745], time: 18.712
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2920: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/_methods.py:85: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Running avgs for agent 0: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan, lamda: nan
Running avgs for agent 1: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan, lamda: nan
steps: 49975, episodes: 2000, mean episode reward: -20.488170578486365, agent episode reward: [-1.1114596006213602, -19.376710977865002], time: 29.82
Running avgs for agent 0: q_loss: 0.34325891733169556, q_loss2: -0.32113754749298096, p_loss: -0.07949621230363846, mean_rew: 0.09280487437770804, var_rew: 0.11417030543088913, lamda: 1.0112390518188477
Running avgs for agent 1: q_loss: 0.5231966376304626, q_loss2: -0.4835143983364105, p_loss: 1.609240174293518, mean_rew: -1.1319972740092126, var_rew: -0.011886323802173138, lamda: 1.011323094367981
steps: 74975, episodes: 3000, mean episode reward: -12.119756798115596, agent episode reward: [-4.57084892204766, -7.548907876067935], time: 29.105
Running avgs for agent 0: q_loss: 1.4340596199035645, q_loss2: -1.3646337985992432, p_loss: -0.08683586120605469, mean_rew: -0.01700700243642842, var_rew: -0.01209213025867939, lamda: 1.0368971824645996
Running avgs for agent 1: q_loss: 2.1635191440582275, q_loss2: -2.1476011276245117, p_loss: 2.4632463455200195, mean_rew: -0.8513052904202044, var_rew: -0.051150284707546234, lamda: 1.0370793342590332
steps: 99975, episodes: 4000, mean episode reward: -9.933298853982611, agent episode reward: [-2.694806387192952, -7.238492466789658], time: 29.15
Running avgs for agent 0: q_loss: 6.089259147644043, q_loss2: -5.583078384399414, p_loss: 0.012250291183590889, mean_rew: -0.05477709773354457, var_rew: -0.020282894372940063, lamda: 1.0636656284332275
Running avgs for agent 1: q_loss: 6.532200813293457, q_loss2: -6.537534236907959, p_loss: 2.801980495452881, mean_rew: -0.6881813695937864, var_rew: -0.02960267663002014, lamda: 1.0634260177612305
steps: 124975, episodes: 5000, mean episode reward: -9.157527357115775, agent episode reward: [-1.831136007463771, -7.326391349652005], time: 29.458
Running avgs for agent 0: q_loss: 11.420578956604004, q_loss2: -10.518692970275879, p_loss: -0.005680338013917208, mean_rew: -0.06190137844361105, var_rew: -0.022062717005610466, lamda: 1.0896321535110474
Running avgs for agent 1: q_loss: 12.583284378051758, q_loss2: -12.152052879333496, p_loss: 2.8261444568634033, mean_rew: -0.596750995270669, var_rew: -0.03370180353522301, lamda: 1.0891534090042114
steps: 149975, episodes: 6000, mean episode reward: -9.677094500556509, agent episode reward: [-2.071826623027779, -7.6052678775287275], time: 29.075
Running avgs for agent 0: q_loss: 17.4675350189209, q_loss2: -15.399991989135742, p_loss: -0.14298035204410553, mean_rew: -0.06629261341927685, var_rew: -0.06310015916824341, lamda: 1.1152392625808716
Running avgs for agent 1: q_loss: 24.597305297851562, q_loss2: -23.285358428955078, p_loss: 2.723355531692505, mean_rew: -0.5434605307304552, var_rew: 0.007252447307109833, lamda: 1.1146129369735718
steps: 174975, episodes: 7000, mean episode reward: -9.82629924818502, agent episode reward: [-2.0837285527991463, -7.742570695385873], time: 29.952
Running avgs for agent 0: q_loss: 39.403141021728516, q_loss2: -33.576515197753906, p_loss: -0.32160434126853943, mean_rew: -0.06578631704817346, var_rew: -0.08564581722021103, lamda: 1.1406508684158325
Running avgs for agent 1: q_loss: 24.819019317626953, q_loss2: -23.37318229675293, p_loss: 2.5562524795532227, mean_rew: -0.5080908023793557, var_rew: 0.06346473097801208, lamda: 1.139925241470337
steps: 199975, episodes: 8000, mean episode reward: -9.836859192711039, agent episode reward: [-1.7349549742515114, -8.101904218459529], time: 29.567
Running avgs for agent 0: q_loss: 32.13459777832031, q_loss2: -28.300682067871094, p_loss: -0.41882267594337463, mean_rew: -0.06904242196826382, var_rew: -0.03460202366113663, lamda: 1.1659420728683472
Running avgs for agent 1: q_loss: 54.37772750854492, q_loss2: -52.855350494384766, p_loss: 2.469095468521118, mean_rew: -0.4793894358760927, var_rew: -0.09352555125951767, lamda: 1.1651467084884644
steps: 224975, episodes: 9000, mean episode reward: -10.11192336599144, agent episode reward: [-1.8898003425001535, -8.222123023491287], time: 29.897
Running avgs for agent 0: q_loss: 52.2100715637207, q_loss2: -41.90331268310547, p_loss: -0.5569136738777161, mean_rew: -0.06948689198045623, var_rew: -0.03237514570355415, lamda: 1.1911540031433105
Running avgs for agent 1: q_loss: 41.6976318359375, q_loss2: -37.186553955078125, p_loss: 2.453864336013794, mean_rew: -0.46355625714354826, var_rew: 0.03303292766213417, lamda: 1.1903076171875
steps: 249975, episodes: 10000, mean episode reward: -10.15584641529437, agent episode reward: [-1.0212330552731512, -9.13461336002122], time: 29.597
Running avgs for agent 0: q_loss: 49.775516510009766, q_loss2: -39.64357376098633, p_loss: -0.7485620379447937, mean_rew: -0.06988830451625387, var_rew: -0.09801916033029556, lamda: 1.2163105010986328
Running avgs for agent 1: q_loss: 65.84371185302734, q_loss2: -55.84535598754883, p_loss: 2.47892427444458, mean_rew: -0.45027513608958214, var_rew: -0.03960075601935387, lamda: 1.215427279472351
steps: 274975, episodes: 11000, mean episode reward: -10.37350943636465, agent episode reward: [-1.2293603761300833, -9.144149060234566], time: 30.67
Running avgs for agent 0: q_loss: 73.7405014038086, q_loss2: -64.22118377685547, p_loss: -0.8790537714958191, mean_rew: -0.06597113653683667, var_rew: -0.06650692224502563, lamda: 1.241428256034851
Running avgs for agent 1: q_loss: 54.74270248413086, q_loss2: -47.96913146972656, p_loss: 2.5087709426879883, mean_rew: -0.4430514494939085, var_rew: -0.058921173214912415, lamda: 1.2405176162719727
steps: 299975, episodes: 12000, mean episode reward: -11.030419349113819, agent episode reward: [-2.338654657023622, -8.691764692090198], time: 29.835
Running avgs for agent 0: q_loss: 66.95758056640625, q_loss2: -57.4587287902832, p_loss: -0.9085779786109924, mean_rew: -0.06515488466763353, var_rew: 0.015300550498068333, lamda: 1.2665181159973145
Running avgs for agent 1: q_loss: 82.29389190673828, q_loss2: -72.62476348876953, p_loss: 2.5953104496002197, mean_rew: -0.4356940181341072, var_rew: 0.03846988081932068, lamda: 1.2655842304229736
steps: 324975, episodes: 13000, mean episode reward: -10.95605090374469, agent episode reward: [-2.4443284438170085, -8.511722459927684], time: 29.498
Running avgs for agent 0: q_loss: 68.4708023071289, q_loss2: -56.167049407958984, p_loss: -0.9137078523635864, mean_rew: -0.06816513072441852, var_rew: -0.03512250632047653, lamda: 1.2915846109390259
Running avgs for agent 1: q_loss: 61.16421890258789, q_loss2: -53.53508758544922, p_loss: 2.6648964881896973, mean_rew: -0.4290101132450161, var_rew: -0.05194056034088135, lamda: 1.2906382083892822
steps: 349975, episodes: 14000, mean episode reward: -11.545249416270387, agent episode reward: [-3.007040434894385, -8.538208981376004], time: 29.607
Running avgs for agent 0: q_loss: 91.67596435546875, q_loss2: -73.14456176757812, p_loss: -0.8953467607498169, mean_rew: -0.07172330970625265, var_rew: 0.04506745934486389, lamda: 1.3166391849517822
Running avgs for agent 1: q_loss: 86.50015258789062, q_loss2: -72.32223510742188, p_loss: 2.699955940246582, mean_rew: -0.42362612765674124, var_rew: 0.018413512036204338, lamda: 1.3156726360321045
steps: 374975, episodes: 15000, mean episode reward: -11.855247584956686, agent episode reward: [-3.619652068954228, -8.235595516002457], time: 29.874
Running avgs for agent 0: q_loss: 66.13826751708984, q_loss2: -50.040584564208984, p_loss: -0.8769815564155579, mean_rew: -0.07585936368488169, var_rew: -0.04635845497250557, lamda: 1.341673731803894
Running avgs for agent 1: q_loss: 49.92808532714844, q_loss2: -41.988834381103516, p_loss: 2.6435322761535645, mean_rew: -0.41577616948438906, var_rew: 0.008102619089186192, lamda: 1.3407065868377686
steps: 399975, episodes: 16000, mean episode reward: -12.065273964476978, agent episode reward: [-3.6984539560898226, -8.366820008387156], time: 29.692
Running avgs for agent 0: q_loss: 78.21179962158203, q_loss2: -61.43760681152344, p_loss: -0.9197737574577332, mean_rew: -0.07928667902916788, var_rew: -0.07883259654045105, lamda: 1.3667075634002686
Running avgs for agent 1: q_loss: 54.91505813598633, q_loss2: -47.457645416259766, p_loss: 2.588977575302124, mean_rew: -0.41106630244163445, var_rew: 0.04255381599068642, lamda: 1.3657399415969849
steps: 424975, episodes: 17000, mean episode reward: -11.516549165453082, agent episode reward: [-3.0119003753369613, -8.504648790116121], time: 29.623
Running avgs for agent 0: q_loss: 89.21204376220703, q_loss2: -74.85305786132812, p_loss: -0.8915085196495056, mean_rew: -0.08432793618158856, var_rew: -0.02133330889046192, lamda: 1.391741156578064
Running avgs for agent 1: q_loss: 66.63263702392578, q_loss2: -54.700469970703125, p_loss: 2.596578598022461, mean_rew: -0.40429750600264147, var_rew: -0.02205985225737095, lamda: 1.3907538652420044
steps: 449975, episodes: 18000, mean episode reward: -11.598181485344945, agent episode reward: [-2.570718967817704, -9.027462517527239], time: 29.452
Running avgs for agent 0: q_loss: 110.4876937866211, q_loss2: -94.25678253173828, p_loss: -0.9189032316207886, mean_rew: -0.08453237516129677, var_rew: -0.046591512858867645, lamda: 1.4167563915252686
Running avgs for agent 1: q_loss: 62.368934631347656, q_loss2: -55.34485626220703, p_loss: 2.62766170501709, mean_rew: -0.40348343051582175, var_rew: 0.008280333131551743, lamda: 1.4157580137252808
steps: 474975, episodes: 19000, mean episode reward: -11.245991146502915, agent episode reward: [-2.120684347123269, -9.125306799379645], time: 29.459
Running avgs for agent 0: q_loss: 104.92095184326172, q_loss2: -89.59143829345703, p_loss: -0.8101513385772705, mean_rew: -0.08558793617357476, var_rew: 0.036380767822265625, lamda: 1.441760540008545
Running avgs for agent 1: q_loss: 48.29652786254883, q_loss2: -39.742591857910156, p_loss: 2.6501119136810303, mean_rew: -0.4003110424596701, var_rew: 0.03915269300341606, lamda: 1.4407621622085571
steps: 499975, episodes: 20000, mean episode reward: -11.542263764534187, agent episode reward: [-2.1875174341737393, -9.354746330360447], time: 30.142
Running avgs for agent 0: q_loss: 102.03539276123047, q_loss2: -78.31779479980469, p_loss: -0.8691810965538025, mean_rew: -0.08446485097618402, var_rew: -0.10455616563558578, lamda: 1.4667646884918213
