python train.py --scenario simple_push --num-adversaries 1 --independent-learner True --lr_actor 0.005 --lr_critic 0.01 --lr_lamda 0.0001 --alpha 0.05 --independent-learner True
2018-10-28 00:08:14.497056: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
In MADDPGAgentTrainerIndepLearner
In MADDPGAgentTrainerIndepLearner
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -25.964392467912425, agent episode reward: [1.544093315870503, -27.508485783782927], time: 18.021
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2920: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/_methods.py:85: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Running avgs for agent 0: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan, lamda: nan
Running avgs for agent 1: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan, lamda: nan
steps: 49975, episodes: 2000, mean episode reward: -25.271680129923194, agent episode reward: [-8.090022552607014, -17.181657577316184], time: 25.383
Running avgs for agent 0: q_loss: 0.825354278087616, q_loss2: -0.7772278189659119, p_loss: 0.16569767892360687, mean_rew: -0.028269062891661943, var_rew: 0.1595100611448288, lamda: 1.0122520923614502
Running avgs for agent 1: q_loss: 0.3134351968765259, q_loss2: -0.2686934471130371, p_loss: 1.4886209964752197, mean_rew: -1.0386858571720037, var_rew: 0.01465841569006443, lamda: 1.009281039237976
steps: 74975, episodes: 3000, mean episode reward: -17.31898762085627, agent episode reward: [-9.427238118752559, -7.891749502103709], time: 24.856
Running avgs for agent 0: q_loss: 2.8601274490356445, q_loss2: -2.6490447521209717, p_loss: 0.35625550150871277, mean_rew: -0.18064562136486711, var_rew: 0.10327351093292236, lamda: 1.0369561910629272
Running avgs for agent 1: q_loss: 0.6498895883560181, q_loss2: -0.6471952795982361, p_loss: 2.1641221046447754, mean_rew: -0.7837015305120894, var_rew: 0.012760074809193611, lamda: 1.035332441329956
steps: 99975, episodes: 4000, mean episode reward: -15.197760701806743, agent episode reward: [-7.831493577449341, -7.366267124357402], time: 25.001
Running avgs for agent 0: q_loss: 8.285778999328613, q_loss2: -7.3812127113342285, p_loss: 0.4665486514568329, mean_rew: -0.22569742782064547, var_rew: 0.08330991864204407, lamda: 1.061960220336914
Running avgs for agent 1: q_loss: 1.8916584253311157, q_loss2: -1.9030709266662598, p_loss: 2.4269211292266846, mean_rew: -0.6447963421460974, var_rew: -0.01018292922526598, lamda: 1.0664056539535522
steps: 124975, episodes: 5000, mean episode reward: -16.209136865762524, agent episode reward: [-8.285497994587942, -7.92363887117458], time: 24.98
Running avgs for agent 0: q_loss: 15.738322257995605, q_loss2: -13.809345245361328, p_loss: 0.6131477952003479, mean_rew: -0.24876519115086895, var_rew: 0.07356138527393341, lamda: 1.08696448802948
Running avgs for agent 1: q_loss: 4.616195201873779, q_loss2: -4.550775051116943, p_loss: 2.4040470123291016, mean_rew: -0.5686330071489129, var_rew: 0.007447768002748489, lamda: 1.0945509672164917
steps: 149975, episodes: 6000, mean episode reward: -16.08317659975699, agent episode reward: [-7.935788538436577, -8.147388061320411], time: 25.133
Running avgs for agent 0: q_loss: 25.989625930786133, q_loss2: -22.10637092590332, p_loss: 0.794927716255188, mean_rew: -0.26154395722274687, var_rew: 0.06589904427528381, lamda: 1.1119686365127563
Running avgs for agent 1: q_loss: 5.901134014129639, q_loss2: -5.761703968048096, p_loss: 2.253848075866699, mean_rew: -0.522922109353083, var_rew: 0.020419932901859283, lamda: 1.1214343309402466
steps: 174975, episodes: 7000, mean episode reward: -15.512620899363908, agent episode reward: [-7.011433143926795, -8.501187755437115], time: 25.424
Running avgs for agent 0: q_loss: 43.31231689453125, q_loss2: -36.996376037597656, p_loss: 0.9863001704216003, mean_rew: -0.26830183300337496, var_rew: 0.02036229707300663, lamda: 1.1369726657867432
Running avgs for agent 1: q_loss: 6.063333034515381, q_loss2: -5.892961502075195, p_loss: 2.139085531234741, mean_rew: -0.49469412203024, var_rew: 0.03823312371969223, lamda: 1.1476786136627197
steps: 199975, episodes: 8000, mean episode reward: -15.450391429165535, agent episode reward: [-6.548131154201482, -8.902260274964052], time: 25.386
Running avgs for agent 0: q_loss: 61.85943603515625, q_loss2: -52.03638458251953, p_loss: 1.1375066041946411, mean_rew: -0.269604217337166, var_rew: 0.011387815698981285, lamda: 1.161976933479309
Running avgs for agent 1: q_loss: 8.679134368896484, q_loss2: -7.987710475921631, p_loss: 2.0277440547943115, mean_rew: -0.4726822432236058, var_rew: 0.037150949239730835, lamda: 1.173546314239502
steps: 224975, episodes: 9000, mean episode reward: -14.904897409628902, agent episode reward: [-6.031039846691427, -8.873857562937475], time: 25.214
Running avgs for agent 0: q_loss: 86.0327377319336, q_loss2: -69.98550415039062, p_loss: 1.206878900527954, mean_rew: -0.26714208785159616, var_rew: 0.019727537408471107, lamda: 1.1869810819625854
Running avgs for agent 1: q_loss: 8.52995777130127, q_loss2: -7.89618444442749, p_loss: 2.023923635482788, mean_rew: -0.4615408852961432, var_rew: 0.0394536517560482, lamda: 1.1991711854934692
steps: 249975, episodes: 10000, mean episode reward: -15.029890997344785, agent episode reward: [-6.684018624137254, -8.34587237320753], time: 25.052
Running avgs for agent 0: q_loss: 104.92804718017578, q_loss2: -84.72124481201172, p_loss: 1.1873698234558105, mean_rew: -0.2649417601392428, var_rew: 0.061240486800670624, lamda: 1.2119851112365723
Running avgs for agent 1: q_loss: 9.956222534179688, q_loss2: -8.937310218811035, p_loss: 1.983163595199585, mean_rew: -0.4478873813794228, var_rew: 0.0419057235121727, lamda: 1.2246309518814087
steps: 274975, episodes: 11000, mean episode reward: -15.810241853270236, agent episode reward: [-7.2598469326872, -8.550394920583033], time: 25.173
Running avgs for agent 0: q_loss: 144.73448181152344, q_loss2: -114.33175659179688, p_loss: 1.144283652305603, mean_rew: -0.2653387980835547, var_rew: 0.04419706389307976, lamda: 1.2369892597198486
Running avgs for agent 1: q_loss: 9.500327110290527, q_loss2: -8.736214637756348, p_loss: 1.91703462600708, mean_rew: -0.4394222612851058, var_rew: -0.00264616496860981, lamda: 1.2499743700027466
steps: 299975, episodes: 12000, mean episode reward: -15.447301223920867, agent episode reward: [-6.910237651353484, -8.537063572567384], time: 25.284
Running avgs for agent 0: q_loss: 185.05230712890625, q_loss2: -150.08602905273438, p_loss: 1.112716555595398, mean_rew: -0.2693589137599859, var_rew: 0.07523953169584274, lamda: 1.2619935274124146
Running avgs for agent 1: q_loss: 8.522574424743652, q_loss2: -7.548402786254883, p_loss: 1.800532341003418, mean_rew: -0.43018923465298453, var_rew: 0.04820539802312851, lamda: 1.2752336263656616
steps: 324975, episodes: 13000, mean episode reward: -16.324796738983444, agent episode reward: [-8.028237443632495, -8.296559295350947], time: 25.219
Running avgs for agent 0: q_loss: 208.7834014892578, q_loss2: -166.3417205810547, p_loss: 1.1295315027236938, mean_rew: -0.27156084334571895, var_rew: 0.03957256302237511, lamda: 1.2869975566864014
Running avgs for agent 1: q_loss: 10.123997688293457, q_loss2: -9.137214660644531, p_loss: 1.7198549509048462, mean_rew: -0.4230520456010506, var_rew: 0.02334933914244175, lamda: 1.3004305362701416
steps: 349975, episodes: 14000, mean episode reward: -16.519368997120775, agent episode reward: [-8.178726849833188, -8.340642147287587], time: 25.259
Running avgs for agent 0: q_loss: 244.7299041748047, q_loss2: -196.091552734375, p_loss: 1.0658808946609497, mean_rew: -0.27315745182297757, var_rew: -0.0265397597104311, lamda: 1.3120017051696777
Running avgs for agent 1: q_loss: 11.369547843933105, q_loss2: -8.96023941040039, p_loss: 1.617361068725586, mean_rew: -0.4152372161897656, var_rew: 0.018847212195396423, lamda: 1.3255813121795654
steps: 374975, episodes: 15000, mean episode reward: -17.3844062422287, agent episode reward: [-8.618326171887354, -8.766080070341342], time: 25.531
Running avgs for agent 0: q_loss: 335.057861328125, q_loss2: -262.18536376953125, p_loss: 1.030389666557312, mean_rew: -0.2801403048368678, var_rew: 0.11638666689395905, lamda: 1.3370059728622437
Running avgs for agent 1: q_loss: 8.358684539794922, q_loss2: -7.089276313781738, p_loss: 1.4821953773498535, mean_rew: -0.4120134969134773, var_rew: 0.017133936285972595, lamda: 1.3506970405578613
steps: 399975, episodes: 16000, mean episode reward: -16.862405808686674, agent episode reward: [-8.01428192550419, -8.848123883182485], time: 25.297
Running avgs for agent 0: q_loss: 427.0306701660156, q_loss2: -338.29248046875, p_loss: 1.0602840185165405, mean_rew: -0.28212044895887833, var_rew: 0.0061098309233784676, lamda: 1.36201012134552
Running avgs for agent 1: q_loss: 7.432615756988525, q_loss2: -5.869548797607422, p_loss: 1.3531748056411743, mean_rew: -0.405539695191947, var_rew: 0.005765971262007952, lamda: 1.3757871389389038
steps: 424975, episodes: 17000, mean episode reward: -17.613159858692125, agent episode reward: [-8.61117687442571, -9.001982984266414], time: 25.27
Running avgs for agent 0: q_loss: 488.1561279296875, q_loss2: -380.7790222167969, p_loss: 1.0388456583023071, mean_rew: -0.28433505468512627, var_rew: -0.005645921919494867, lamda: 1.3870141506195068
Running avgs for agent 1: q_loss: 9.933001518249512, q_loss2: -8.038727760314941, p_loss: 1.252840518951416, mean_rew: -0.4042798901432702, var_rew: -0.006411265581846237, lamda: 1.4008539915084839
steps: 449975, episodes: 18000, mean episode reward: -16.243483239919186, agent episode reward: [-7.22836938715593, -9.015113852763257], time: 25.281
Running avgs for agent 0: q_loss: 576.8201904296875, q_loss2: -444.9493713378906, p_loss: 1.0641117095947266, mean_rew: -0.2876357619035152, var_rew: 0.13845661282539368, lamda: 1.4120182991027832
Running avgs for agent 1: q_loss: 6.825942039489746, q_loss2: -5.811451435089111, p_loss: 1.160300612449646, mean_rew: -0.40225290450520207, var_rew: 0.003409998957067728, lamda: 1.4259105920791626
steps: 474975, episodes: 19000, mean episode reward: -16.31117630344341, agent episode reward: [-7.095707184215738, -9.215469119227672], time: 25.43
Running avgs for agent 0: q_loss: 668.447021484375, q_loss2: -515.22802734375, p_loss: 0.9753121137619019, mean_rew: -0.2873595053039817, var_rew: 0.15004462003707886, lamda: 1.4370224475860596
Running avgs for agent 1: q_loss: 6.979477405548096, q_loss2: -5.873592376708984, p_loss: 1.028052568435669, mean_rew: -0.4006862413916075, var_rew: -0.006659429986029863, lamda: 1.4509460926055908
steps: 499975, episodes: 20000, mean episode reward: -15.696641241513847, agent episode reward: [-6.528104259269434, -9.168536982244412], time: 25.389
