python train.py --scenario simple_push --num-adversaries 1
2018-10-22 13:39:21.289063: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
q_func_vars [<tf.Variable 'agent_0/q_func/fully_connected/weights:0' shape=(37, 64) dtype=float32_ref>, <tf.Variable 'agent_0/q_func/fully_connected/biases:0' shape=(64,) dtype=float32_ref>, <tf.Variable 'agent_0/q_func/fully_connected_1/weights:0' shape=(64, 64) dtype=float32_ref>, <tf.Variable 'agent_0/q_func/fully_connected_1/biases:0' shape=(64,) dtype=float32_ref>, <tf.Variable 'agent_0/q_func/fully_connected_2/weights:0' shape=(64, 1) dtype=float32_ref>, <tf.Variable 'agent_0/q_func/fully_connected_2/biases:0' shape=(1,) dtype=float32_ref>]
<tf.Variable 'agent_0/q_func/fully_connected/weights:0' shape=(37, 64) dtype=float32_ref> Tensor("agent_0/gradients/agent_0/q_func/fully_connected/MatMul_grad/tuple/control_dependency_1:0", shape=(37, 64), dtype=float32)
<tf.Variable 'agent_0/q_func/fully_connected/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_0/gradients/agent_0/q_func/fully_connected/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_0/q_func/fully_connected_1/weights:0' shape=(64, 64) dtype=float32_ref> Tensor("agent_0/gradients/agent_0/q_func/fully_connected_1/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 64), dtype=float32)
<tf.Variable 'agent_0/q_func/fully_connected_1/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_0/gradients/agent_0/q_func/fully_connected_1/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_0/q_func/fully_connected_2/weights:0' shape=(64, 1) dtype=float32_ref> Tensor("agent_0/gradients/agent_0/q_func/fully_connected_2/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 1), dtype=float32)
<tf.Variable 'agent_0/q_func/fully_connected_2/biases:0' shape=(1,) dtype=float32_ref> Tensor("agent_0/gradients/agent_0/q_func/fully_connected_2/BiasAdd_grad/tuple/control_dependency_1:0", shape=(1,), dtype=float32)
<tf.Variable 'agent_0/lamda_constraint0:0' shape=(64,) dtype=float32_ref> Tensor("agent_0/gradients_1/agent_0/mul_grad/tuple/control_dependency:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_0/p_func/fully_connected/weights:0' shape=(8, 64) dtype=float32_ref> Tensor("agent_0_1/gradients/agent_0_1/p_func/fully_connected/MatMul_grad/tuple/control_dependency_1:0", shape=(8, 64), dtype=float32)
<tf.Variable 'agent_0/p_func/fully_connected/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_0_1/gradients/agent_0_1/p_func/fully_connected/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_0/p_func/fully_connected_1/weights:0' shape=(64, 64) dtype=float32_ref> Tensor("agent_0_1/gradients/agent_0_1/p_func/fully_connected_1/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 64), dtype=float32)
<tf.Variable 'agent_0/p_func/fully_connected_1/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_0_1/gradients/agent_0_1/p_func/fully_connected_1/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_0/p_func/fully_connected_2/weights:0' shape=(64, 5) dtype=float32_ref> Tensor("agent_0_1/gradients/agent_0_1/p_func/fully_connected_2/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 5), dtype=float32)
<tf.Variable 'agent_0/p_func/fully_connected_2/biases:0' shape=(5,) dtype=float32_ref> Tensor("agent_0_1/gradients/agent_0_1/p_func/fully_connected_2/BiasAdd_grad/tuple/control_dependency_1:0", shape=(5,), dtype=float32)
q_func_vars [<tf.Variable 'agent_1/q_func/fully_connected/weights:0' shape=(37, 64) dtype=float32_ref>, <tf.Variable 'agent_1/q_func/fully_connected/biases:0' shape=(64,) dtype=float32_ref>, <tf.Variable 'agent_1/q_func/fully_connected_1/weights:0' shape=(64, 64) dtype=float32_ref>, <tf.Variable 'agent_1/q_func/fully_connected_1/biases:0' shape=(64,) dtype=float32_ref>, <tf.Variable 'agent_1/q_func/fully_connected_2/weights:0' shape=(64, 1) dtype=float32_ref>, <tf.Variable 'agent_1/q_func/fully_connected_2/biases:0' shape=(1,) dtype=float32_ref>]
<tf.Variable 'agent_1/q_func/fully_connected/weights:0' shape=(37, 64) dtype=float32_ref> Tensor("agent_1/gradients/agent_1/q_func/fully_connected/MatMul_grad/tuple/control_dependency_1:0", shape=(37, 64), dtype=float32)
<tf.Variable 'agent_1/q_func/fully_connected/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_1/gradients/agent_1/q_func/fully_connected/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_1/q_func/fully_connected_1/weights:0' shape=(64, 64) dtype=float32_ref> Tensor("agent_1/gradients/agent_1/q_func/fully_connected_1/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 64), dtype=float32)
<tf.Variable 'agent_1/q_func/fully_connected_1/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_1/gradients/agent_1/q_func/fully_connected_1/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_1/q_func/fully_connected_2/weights:0' shape=(64, 1) dtype=float32_ref> Tensor("agent_1/gradients/agent_1/q_func/fully_connected_2/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 1), dtype=float32)
<tf.Variable 'agent_1/q_func/fully_connected_2/biases:0' shape=(1,) dtype=float32_ref> Tensor("agent_1/gradients/agent_1/q_func/fully_connected_2/BiasAdd_grad/tuple/control_dependency_1:0", shape=(1,), dtype=float32)
<tf.Variable 'agent_1/lamda_constraint1:0' shape=(64,) dtype=float32_ref> Tensor("agent_1/gradients_1/agent_1/mul_grad/tuple/control_dependency:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_1/p_func/fully_connected/weights:0' shape=(19, 64) dtype=float32_ref> Tensor("agent_1_1/gradients/agent_1_1/p_func/fully_connected/MatMul_grad/tuple/control_dependency_1:0", shape=(19, 64), dtype=float32)
<tf.Variable 'agent_1/p_func/fully_connected/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_1_1/gradients/agent_1_1/p_func/fully_connected/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_1/p_func/fully_connected_1/weights:0' shape=(64, 64) dtype=float32_ref> Tensor("agent_1_1/gradients/agent_1_1/p_func/fully_connected_1/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 64), dtype=float32)
<tf.Variable 'agent_1/p_func/fully_connected_1/biases:0' shape=(64,) dtype=float32_ref> Tensor("agent_1_1/gradients/agent_1_1/p_func/fully_connected_1/BiasAdd_grad/tuple/control_dependency_1:0", shape=(64,), dtype=float32)
<tf.Variable 'agent_1/p_func/fully_connected_2/weights:0' shape=(64, 5) dtype=float32_ref> Tensor("agent_1_1/gradients/agent_1_1/p_func/fully_connected_2/MatMul_grad/tuple/control_dependency_1:0", shape=(64, 5), dtype=float32)
<tf.Variable 'agent_1/p_func/fully_connected_2/biases:0' shape=(5,) dtype=float32_ref> Tensor("agent_1_1/gradients/agent_1_1/p_func/fully_connected_2/BiasAdd_grad/tuple/control_dependency_1:0", shape=(5,), dtype=float32)
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -27.548275256052886, agent episode reward: [-0.610039064324408, -26.93823619172848], time: 18.179
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2920: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/_methods.py:85: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Running avgs for agent 0: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan
Running avgs for agent 1: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan
steps: 49975, episodes: 2000, mean episode reward: -22.13405845230123, agent episode reward: [-6.356688518522673, -15.777369933778559], time: 28.422
Running avgs for agent 0: q_loss: 1.4862693548202515, q_loss2: -1.4834058284759521, p_loss: 0.09784300625324249, mean_rew: -0.08848011629332055, var_rew: 0.5672309056106971
Running avgs for agent 1: q_loss: 1.0108567476272583, q_loss2: -1.0002813339233398, p_loss: 1.4050112962722778, mean_rew: -1.014224607081518, var_rew: 0.3679810990112023
steps: 74975, episodes: 3000, mean episode reward: -10.73407551632669, agent episode reward: [-4.107424118280988, -6.626651398045704], time: 28.03
Running avgs for agent 0: q_loss: 2.4723639488220215, q_loss2: -2.47233247756958, p_loss: 0.35616737604141235, mean_rew: -0.1498995788757597, var_rew: 0.4229275520176078
Running avgs for agent 1: q_loss: 2.409531831741333, q_loss2: -2.4095659255981445, p_loss: 2.0305726528167725, mean_rew: -0.7450117094392743, var_rew: 0.4085769349619049
steps: 99975, episodes: 4000, mean episode reward: -9.564129035347431, agent episode reward: [-2.670678583489496, -6.893450451857936], time: 28.47
Running avgs for agent 0: q_loss: 3.052994728088379, q_loss2: -3.052633285522461, p_loss: 0.5432646870613098, mean_rew: -0.14359814556514325, var_rew: 0.3366410540940171
Running avgs for agent 1: q_loss: 3.5085325241088867, q_loss2: -3.5085361003875732, p_loss: 2.3233680725097656, mean_rew: -0.605599373707486, var_rew: 0.38745494950759535
^[[Bsteps: 124975, episodes: 5000, mean episode reward: -9.176806278468254, agent episode reward: [-2.565299615447234, -6.611506663021021], time: 28.63
Running avgs for agent 0: q_loss: 3.5250444412231445, q_loss2: -3.5240840911865234, p_loss: 0.6568700075149536, mean_rew: -0.13613488455278167, var_rew: 0.28987883085006616
Running avgs for agent 1: q_loss: 4.3088459968566895, q_loss2: -4.30879545211792, p_loss: 2.3746628761291504, mean_rew: -0.5302311263380655, var_rew: 0.35677243957381916
steps: 149975, episodes: 6000, mean episode reward: -9.068147327486418, agent episode reward: [-2.3202930430683937, -6.7478542844180245], time: 28.8
Running avgs for agent 0: q_loss: 3.9051754474639893, q_loss2: -3.902830123901367, p_loss: 0.7488234639167786, mean_rew: -0.12882945934108367, var_rew: 0.2585202646509331
Running avgs for agent 1: q_loss: 5.027271270751953, q_loss2: -5.027207851409912, p_loss: 2.340087890625, mean_rew: -0.4841701418667664, var_rew: 0.33513349649380064
steps: 174975, episodes: 7000, mean episode reward: -9.063685026507985, agent episode reward: [-2.40878632872913, -6.654898697778856], time: 28.464
Running avgs for agent 0: q_loss: 4.231391906738281, q_loss2: -4.22855281829834, p_loss: 0.8015798330307007, mean_rew: -0.12203596432604842, var_rew: 0.23568040032253748
Running avgs for agent 1: q_loss: 5.6237473487854, q_loss2: -5.623535633087158, p_loss: 2.2594780921936035, mean_rew: -0.44997354348981305, var_rew: 0.31536024920507266
steps: 199975, episodes: 8000, mean episode reward: -8.810802069834004, agent episode reward: [-2.225232444342131, -6.585569625491873], time: 28.383
Running avgs for agent 0: q_loss: 4.627523422241211, q_loss2: -4.624110698699951, p_loss: 0.8361551761627197, mean_rew: -0.11900219676848728, var_rew: 0.2234394940920515
Running avgs for agent 1: q_loss: 6.15415620803833, q_loss2: -6.153785228729248, p_loss: 2.1799519062042236, mean_rew: -0.42402923352877825, var_rew: 0.2988505799420291
steps: 224975, episodes: 9000, mean episode reward: -8.947967033996022, agent episode reward: [-2.218324577127789, -6.729642456868234], time: 28.928
Running avgs for agent 0: q_loss: 4.890434741973877, q_loss2: -4.8883514404296875, p_loss: 0.8519917130470276, mean_rew: -0.11699058128356722, var_rew: 0.20886222136165816
Running avgs for agent 1: q_loss: 6.722182750701904, q_loss2: -6.721928119659424, p_loss: 2.1258838176727295, mean_rew: -0.40818320377947703, var_rew: 0.2886174157805798
steps: 249975, episodes: 10000, mean episode reward: -9.132937290926057, agent episode reward: [-2.0929163075734274, -7.04002098335263], time: 28.556
Running avgs for agent 0: q_loss: 5.259955406188965, q_loss2: -5.256251811981201, p_loss: 0.8348777890205383, mean_rew: -0.11177562687613854, var_rew: 0.2016518597073271
Running avgs for agent 1: q_loss: 7.188949108123779, q_loss2: -7.188650608062744, p_loss: 2.062150478363037, mean_rew: -0.3931402131236232, var_rew: 0.2770213584691934
steps: 274975, episodes: 11000, mean episode reward: -8.887138248289917, agent episode reward: [-2.072089260206529, -6.815048988083389], time: 28.64
Running avgs for agent 0: q_loss: 5.554893493652344, q_loss2: -5.551124095916748, p_loss: 0.825073778629303, mean_rew: -0.10948068900214038, var_rew: 0.19352597656987552
Running avgs for agent 1: q_loss: 7.590656280517578, q_loss2: -7.590218544006348, p_loss: 2.00567364692688, mean_rew: -0.38037129942998454, var_rew: 0.26574735696481344
steps: 299975, episodes: 12000, mean episode reward: -8.675042418962065, agent episode reward: [-1.7596141503164124, -6.915428268645654], time: 29.096
Running avgs for agent 0: q_loss: 5.794012069702148, q_loss2: -5.790566444396973, p_loss: 0.8013830780982971, mean_rew: -0.1054089322582697, var_rew: 0.1851982324201377
Running avgs for agent 1: q_loss: 8.070472717285156, q_loss2: -8.070014953613281, p_loss: 1.965207815170288, mean_rew: -0.3705286142711623, var_rew: 0.25907602235119515
^[[Bsteps: 324975, episodes: 13000, mean episode reward: -8.855675831930629, agent episode reward: [-2.2147299778422704, -6.640945854088357], time: 29.51
Running avgs for agent 0: q_loss: 6.177813529968262, q_loss2: -6.174232006072998, p_loss: 0.8098560571670532, mean_rew: -0.10508784190777118, var_rew: 0.18251305635054615
Running avgs for agent 1: q_loss: 8.656947135925293, q_loss2: -8.656522750854492, p_loss: 1.9631361961364746, mean_rew: -0.36518232827164954, var_rew: 0.2567509238998005
steps: 349975, episodes: 14000, mean episode reward: -8.887692158946333, agent episode reward: [-1.9106761957928702, -6.9770159631534625], time: 29.058
Running avgs for agent 0: q_loss: 6.5020341873168945, q_loss2: -6.498629570007324, p_loss: 0.8108009099960327, mean_rew: -0.103283367478718, var_rew: 0.1787099005995111
Running avgs for agent 1: q_loss: 9.046374320983887, q_loss2: -9.045953750610352, p_loss: 1.940492868423462, mean_rew: -0.3583388551914642, var_rew: 0.24945151615607306
steps: 374975, episodes: 15000, mean episode reward: -8.596018387682015, agent episode reward: [-1.7928052972817614, -6.803213090400252], time: 29.391
Running avgs for agent 0: q_loss: 6.745840549468994, q_loss2: -6.7426252365112305, p_loss: 0.8080394268035889, mean_rew: -0.10143458661713871, var_rew: 0.17331908199434082
Running avgs for agent 1: q_loss: 9.471582412719727, q_loss2: -9.470959663391113, p_loss: 1.9208447933197021, mean_rew: -0.35184698600263403, var_rew: 0.24402522396688198
steps: 399975, episodes: 16000, mean episode reward: -8.949295867773351, agent episode reward: [-2.0373641465675543, -6.911931721205796], time: 28.648
Running avgs for agent 0: q_loss: 7.050052642822266, q_loss2: -7.04689359664917, p_loss: 0.7975097298622131, mean_rew: -0.09911710431213176, var_rew: 0.17011748327852808
Running avgs for agent 1: q_loss: 9.923405647277832, q_loss2: -9.922685623168945, p_loss: 1.913083791732788, mean_rew: -0.3484186189695083, var_rew: 0.24002178902280952
