python train.py --scenario simple_push --num-adversaries 1
2018-10-23 10:58:37.224369: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -26.440095913668955, agent episode reward: [0.4382548136868161, -26.878350727355773], time: 20.475
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2920: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/anaconda2/envs/py36/lib/python3.6/site-packages/numpy/core/_methods.py:85: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Running avgs for agent 0: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan
Running avgs for agent 1: q_loss: nan, q_loss2: nan, p_loss: nan, mean_rew: nan, var_rew: nan
steps: 49975, episodes: 2000, mean episode reward: -20.703296509084904, agent episode reward: [-4.25298816477673, -16.45030834430817], time: 34.731
Running avgs for agent 0: q_loss: 0.9044933915138245, q_loss2: -0.9006969332695007, p_loss: -0.08970381319522858, mean_rew: -0.0083363698819225, var_rew: 0.593975209980207
Running avgs for agent 1: q_loss: 0.5845112800598145, q_loss2: -0.5787656903266907, p_loss: 1.5728001594543457, mean_rew: -1.0290561419527677, var_rew: 0.3883058006950266
steps: 74975, episodes: 3000, mean episode reward: -10.918511590977888, agent episode reward: [-3.6980438534145517, -7.220467737563336], time: 37.055
Running avgs for agent 0: q_loss: 1.0863416194915771, q_loss2: -1.0861289501190186, p_loss: 0.06508894264698029, mean_rew: -0.09366925881770928, var_rew: 0.4408789599156508
Running avgs for agent 1: q_loss: 1.1088284254074097, q_loss2: -1.1087087392807007, p_loss: 2.341914176940918, mean_rew: -0.7566328509514587, var_rew: 0.42257221380643795
steps: 99975, episodes: 4000, mean episode reward: -8.845148162908691, agent episode reward: [-2.153981028154666, -6.691167134754025], time: 35.876
Running avgs for agent 0: q_loss: 1.1632107496261597, q_loss2: -1.161507487297058, p_loss: 0.16535937786102295, mean_rew: -0.09753758326046374, var_rew: 0.3478643271560667
Running avgs for agent 1: q_loss: 1.497857928276062, q_loss2: -1.497410774230957, p_loss: 2.980161666870117, mean_rew: -0.616621854622193, var_rew: 0.39791624093803973
steps: 124975, episodes: 5000, mean episode reward: -8.456375570704436, agent episode reward: [-1.6405107478250913, -6.815864822879345], time: 31.454
Running avgs for agent 0: q_loss: 1.2387208938598633, q_loss2: -1.2341829538345337, p_loss: 0.25003328919410706, mean_rew: -0.0940086435347416, var_rew: 0.295672467301451
Running avgs for agent 1: q_loss: 1.784380316734314, q_loss2: -1.7827656269073486, p_loss: 3.508915424346924, mean_rew: -0.5411393476817858, var_rew: 0.3703878822424755
steps: 149975, episodes: 6000, mean episode reward: -8.85919997048381, agent episode reward: [-1.673262057414157, -7.185937913069653], time: 31.478
Running avgs for agent 0: q_loss: 1.3404408693313599, q_loss2: -1.3330069780349731, p_loss: 0.30509883165359497, mean_rew: -0.08776333388271086, var_rew: 0.2639776813712971
Running avgs for agent 1: q_loss: 1.9737260341644287, q_loss2: -1.9706261157989502, p_loss: 3.963778257369995, mean_rew: -0.4926142349716106, var_rew: 0.3388386805522397
steps: 174975, episodes: 7000, mean episode reward: -8.613014189884098, agent episode reward: [-0.9590708176276507, -7.653943372256446], time: 31.561
Running avgs for agent 0: q_loss: 1.449195146560669, q_loss2: -1.4386464357376099, p_loss: 0.33021092414855957, mean_rew: -0.08251489722758285, var_rew: 0.24162111248508794
Running avgs for agent 1: q_loss: 2.127089738845825, q_loss2: -2.1229474544525146, p_loss: 4.407107830047607, mean_rew: -0.46182046032544133, var_rew: 0.3146974085710908
steps: 199975, episodes: 8000, mean episode reward: -8.725200568103839, agent episode reward: [-0.8520392853865248, -7.873161282717316], time: 31.413
Running avgs for agent 0: q_loss: 1.5557329654693604, q_loss2: -1.542686104774475, p_loss: 0.33098268508911133, mean_rew: -0.07575217425511706, var_rew: 0.22547444471205744
Running avgs for agent 1: q_loss: 2.2840282917022705, q_loss2: -2.2783243656158447, p_loss: 4.848236560821533, mean_rew: -0.44277091297398513, var_rew: 0.2970436194879165
steps: 224975, episodes: 9000, mean episode reward: -8.603227652731352, agent episode reward: [-0.501557823633103, -8.101669829098249], time: 31.188
Running avgs for agent 0: q_loss: 1.679746150970459, q_loss2: -1.6657606363296509, p_loss: 0.3328809142112732, mean_rew: -0.07258167156762534, var_rew: 0.21319041295375324
Running avgs for agent 1: q_loss: 2.439805746078491, q_loss2: -2.433145046234131, p_loss: 5.27008581161499, mean_rew: -0.4280402994817009, var_rew: 0.28295650501839525
steps: 249975, episodes: 10000, mean episode reward: -8.971118374320964, agent episode reward: [-0.8845320133374641, -8.0865863609835], time: 35.851
Running avgs for agent 0: q_loss: 1.78657865524292, q_loss2: -1.7683652639389038, p_loss: 0.3323538601398468, mean_rew: -0.06747455416278293, var_rew: 0.20399715114741127
Running avgs for agent 1: q_loss: 2.5677950382232666, q_loss2: -2.5610454082489014, p_loss: 5.670790195465088, mean_rew: -0.41589752126869656, var_rew: 0.27004870625280764
steps: 274975, episodes: 11000, mean episode reward: -8.525614422702779, agent episode reward: [-0.3076874492954211, -8.217926973407357], time: 34.884
Running avgs for agent 0: q_loss: 1.8839759826660156, q_loss2: -1.8650295734405518, p_loss: 0.2949569821357727, mean_rew: -0.06304120766393703, var_rew: 0.19481145132488922
Running avgs for agent 1: q_loss: 2.678553581237793, q_loss2: -2.6705987453460693, p_loss: 6.066473960876465, mean_rew: -0.4088989690641574, var_rew: 0.25850122248009993
steps: 299975, episodes: 12000, mean episode reward: -8.861943155893623, agent episode reward: [-0.4345306916588662, -8.427412464234754], time: 36.238
Running avgs for agent 0: q_loss: 2.0098156929016113, q_loss2: -1.9904249906539917, p_loss: 0.2577798366546631, mean_rew: -0.05810010944819081, var_rew: 0.18996818252200023
Running avgs for agent 1: q_loss: 2.8005969524383545, q_loss2: -2.792590618133545, p_loss: 6.421536922454834, mean_rew: -0.40169369841141844, var_rew: 0.24861345522171582
steps: 324975, episodes: 13000, mean episode reward: -8.57915705470174, agent episode reward: [-0.040477431118352086, -8.538679623583386], time: 34.324
Running avgs for agent 0: q_loss: 2.098184585571289, q_loss2: -2.0757367610931396, p_loss: 0.22360312938690186, mean_rew: -0.055122261339399216, var_rew: 0.18347911107404374
Running avgs for agent 1: q_loss: 2.89856219291687, q_loss2: -2.8891005516052246, p_loss: 6.785953998565674, mean_rew: -0.3966778545670172, var_rew: 0.2397969753392299
steps: 349975, episodes: 14000, mean episode reward: -8.990290349886633, agent episode reward: [-0.26150898161073144, -8.7287813682759], time: 33.318
Running avgs for agent 0: q_loss: 2.1923468112945557, q_loss2: -2.1693122386932373, p_loss: 0.1471618264913559, mean_rew: -0.051022025727466516, var_rew: 0.177623271136789
Running avgs for agent 1: q_loss: 3.0229618549346924, q_loss2: -3.01492977142334, p_loss: 7.137165069580078, mean_rew: -0.39356334652423464, var_rew: 0.2333017504560994
steps: 374975, episodes: 15000, mean episode reward: -8.89145489011257, agent episode reward: [-0.004772947787780766, -8.886681942324788], time: 32.847
Running avgs for agent 0: q_loss: 2.3104889392852783, q_loss2: -2.2865688800811768, p_loss: 0.06404624879360199, mean_rew: -0.04785703347928019, var_rew: 0.1746195615968703
Running avgs for agent 1: q_loss: 3.1356201171875, q_loss2: -3.1258704662323, p_loss: 7.429853439331055, mean_rew: -0.3896959198078799, var_rew: 0.2275956273401089
steps: 399975, episodes: 16000, mean episode reward: -9.235865262376102, agent episode reward: [0.03834864035383014, -9.274213902729931], time: 32.781
Running avgs for agent 0: q_loss: 2.39401912689209, q_loss2: -2.368434190750122, p_loss: -0.00561123201623559, mean_rew: -0.04510032383018523, var_rew: 0.1698872679207816
Running avgs for agent 1: q_loss: 3.2395853996276855, q_loss2: -3.2287323474884033, p_loss: 7.729554653167725, mean_rew: -0.38792703397233613, var_rew: 0.2216439869966432
steps: 424975, episodes: 17000, mean episode reward: -9.008176674769947, agent episode reward: [0.42071743435883524, -9.428894109128782], time: 32.349
Running avgs for agent 0: q_loss: 2.49995756149292, q_loss2: -2.4753732681274414, p_loss: -0.1117006242275238, mean_rew: -0.04210918848037357, var_rew: 0.16696936432188889
Running avgs for agent 1: q_loss: 3.350691795349121, q_loss2: -3.3406119346618652, p_loss: 8.008512496948242, mean_rew: -0.3880779566556662, var_rew: 0.21637710052540388
steps: 449975, episodes: 18000, mean episode reward: -8.989221133972867, agent episode reward: [0.6874948380083132, -9.676715971981183], time: 33.616
Running avgs for agent 0: q_loss: 2.609743118286133, q_loss2: -2.584044933319092, p_loss: -0.23310421407222748, mean_rew: -0.03738960267692525, var_rew: 0.16458757326618376
Running avgs for agent 1: q_loss: 3.470242738723755, q_loss2: -3.459505796432495, p_loss: 8.28797435760498, mean_rew: -0.3884535270544492, var_rew: 0.21238540414562262
steps: 474975, episodes: 19000, mean episode reward: -9.306162013730315, agent episode reward: [0.6834863860368844, -9.989648399767198], time: 34.342
Running avgs for agent 0: q_loss: 2.672905683517456, q_loss2: -2.647932529449463, p_loss: -0.32209643721580505, mean_rew: -0.033591128005238426, var_rew: 0.16128983985954573
Running avgs for agent 1: q_loss: 3.586832046508789, q_loss2: -3.5767343044281006, p_loss: 8.553508758544922, mean_rew: -0.3891531653914096, var_rew: 0.20876994083642195
steps: 499975, episodes: 20000, mean episode reward: -9.089875287560034, agent episode reward: [1.0169692037422484, -10.106844491302283], time: 34.773
Running avgs for agent 0: q_loss: 2.8057405948638916, q_loss2: -2.780277967453003, p_loss: -0.3705213665962219, mean_rew: -0.03124487209898177, var_rew: 0.1609684256306648
Running avgs for agent 1: q_loss: 3.650392532348633, q_loss2: -3.639688730239868, p_loss: 8.751774787902832, mean_rew: -0.38743350323700965, var_rew: 0.2030702611320994
steps: 524975, episodes: 21000, mean episode reward: -9.317779528957356, agent episode reward: [0.821910449097803, -10.13968997805516], time: 31.609
Running avgs for agent 0: q_loss: 2.9183549880981445, q_loss2: -2.893188953399658, p_loss: -0.480747252702713, mean_rew: -0.026996757646426, var_rew: 0.16054374616982853
Running avgs for agent 1: q_loss: 3.744511604309082, q_loss2: -3.7348732948303223, p_loss: 9.010523796081543, mean_rew: -0.38850361659899035, var_rew: 0.19907252663364328
steps: 549975, episodes: 22000, mean episode reward: -9.165786698029887, agent episode reward: [0.9174037363469124, -10.0831904343768], time: 31.171
Running avgs for agent 0: q_loss: 3.0037524700164795, q_loss2: -2.977416515350342, p_loss: -0.5260864496231079, mean_rew: -0.0253922613684406, var_rew: 0.15782486262477488
